item_id,raw_asin,count
41423,B005M8HPPS,107
30069,B00004OCO9,106
31028,B00006JSUA,78
43617,B00DUHACEE,75
26909,B004D1GZ2E,64
41664,B00608YG7E,62
25426,B002ALTAN0,53
41407,B005LCT5I0,52
41770,B006C9TPKO,51
24379,B001BCCPYK,49
25216,B001VPJZ40,48
30350,B00004SPEU,44
31474,B0000CFMZN,43
41220,B005F2H1G4,43
25588,B002HQWQB6,43
43828,B00FMJDJ5C,43
25052,B001QITO1Q,42
37188,B001N07KUE,42
32611,B0006HUYGM,41
30988,B00006IUWA,40
30630,B00005IBX9,40
30828,B00005UP2K,40
965,B000000IRB,40
25319,B0026P3G12,39
24140,B0017OLUUC,38
44119,B00IY0J536,38
38396,B002S52ZDU,37
42122,B007M6GM1Q,37
41383,B005JAIHNI,36
24513,B001D0T4HG,36
24127,B0017I1FRQ,36
24334,B001ATO9EI,36
6044,B000002UB2,35
31230,B00009R66F,35
12904,B00004ZAV3,34
14917,B00005YW4H,34
24550,B001DFHU22,34
30717,B00005MF9C,34
2818,B0000025BA,33
38625,B002YD99Y4,33
24138,B0017LU074,33
27044,B004K4AUZW,32
33468,B000DLB2FI,32
40798,B004Y3I0MO,32
30612,B00005B8K5,32
29988,B00000JGRT,31
21074,B000ELIV4C,31
24268,B0019FAM62,31
43515,B00CZA0LPM,31
22557,B000N2G3RY,30
